Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2001","2001","TJ","412545.6747","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2002","2002","TJ","432018.9217","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2003","2003","TJ","526469.9933","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2004","2004","TJ","545466.1982","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2005","2005","TJ","480821.2564","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2006","2006","TJ","472266.8894","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2007","2007","TJ","108785.867","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2008","2008","TJ","63883.8918","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2009","2009","TJ","80088.1023","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2010","2010","TJ","71022.6","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2011","2011","TJ","64069.3","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2012","2012","TJ","51121.8","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2013","2013","TJ","414643.6","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2014","2014","TJ","416544.2","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2015","2015","TJ","42773.1","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2016","2016","TJ","43210.2","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2017","2017","TJ","30783.5","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2018","2018","TJ","36111.4","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2019","2019","TJ","34455.4","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2020","2020","TJ","42036","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2021","2021","TJ","42036","E","Estimated value"
"GN","Emissions from Energy use in agriculture","356","India","72184","Energy use in agriculture","6801","Petroleum products","2022","2022","TJ","42036","I","Imputed value"
